,pc0
0,650089.8849123028
1,-789191.104818747
2,-755400.4895852912
3,28323.73962573646
4,639473.7232959452
5,164827.87263376487
6,-188710.86188193562
7,-59020.3630275807
8,5416.151536734155
9,5058.673874175887
10,4000.583127588815
