,pc0
0,-260.0028277786859
1,202.8040384046217
2,965.6108778660944
3,587.130439277584
4,-659.7436775983123
5,-772.3803260869445
6,-157.37327938527272
7,186.16104426004148
8,652.3826355175692
9,369.016369928203
10,-371.2915753543866
11,-363.41677309362484
12,-110.11668525966289
13,64.0899992901915
14,249.67394782241792
15,114.19023048046256
16,-114.11888736358966
17,-78.3506463050228
18,-7.212100164137644
19,-0.0379800085416131
20,32.268421916787176
