,pc0
0,-241743.24872377372
1,-1732360.6999177544
2,2696279.684109363
3,1387459.83120105
4,-1039099.6163946581
5,927897.405290237
6,2370352.509103506
7,433847.71130373154
8,-2145073.106158064
9,1482680.0021208823
10,-1230101.1421057296
11,-4895569.147936305
12,-288949.58194267843
13,2996886.7225440876
14,3100401.0590839395
15,-58465.49128838989
16,-2091105.8152469026
17,-366370.7795191353
18,427104.1379169168
19,65881.73466904057
20,-8509.168418751098
